hazard,NAME_3,prob,risk,narasi
banjir,Angkona,0.6937,medium,"Wilayah Angkona diprediksi memiliki risiko banjir sedang dengan probabilitas 69.4%, di atas rata-rata regional (45.2%). Ketinggian wilayah (149.0 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (15.756 (indeks)) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.671 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Burau,0.02,low,"Wilayah Burau diprediksi memiliki risiko banjir rendah dengan probabilitas 2.0%, jauh di bawah rata-rata regional (45.2%). Curah hujan tahunan (3727 mm/tahun) menjadi faktor pendorong utama risiko; arah lereng (163.8 °) turut berkontribusi; sementara indeks topografi basah (15.173 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penguatan sistem drainase dan pemantauan curah hujan ekstrem (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Danau,0.825,medium,"Wilayah Danau diprediksi memiliki risiko banjir sedang dengan probabilitas 82.5%, di atas rata-rata regional (45.2%). Tutupan vegetasi (NDVI) (-0.105 (indeks 0–1)) menjadi faktor pendorong utama risiko; indeks topografi basah (20.687 (indeks)) turut berkontribusi; sementara ketinggian wilayah (319.1 m dpl) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan restorasi tutupan lahan riparian untuk meningkatkan kapasitas infiltrasi dan mengurangi limpasan permukaan (Sendai Framework Priority 3: Investing in DRR)."
banjir,Kalaena,0.4324,medium,"Wilayah Kalaena diprediksi memiliki risiko banjir sedang dengan probabilitas 43.2%, mendekati rata-rata regional (45.2%). Indeks topografi basah (16.067 (indeks)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3904 mm/tahun) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.668 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pengelolaan daerah tangkapan air dan konservasi lahan basah hulu (Sendai Framework Priority 3: Investing in DRR)."
banjir,Malili,0.3609,medium,"Wilayah Malili diprediksi memiliki risiko banjir sedang dengan probabilitas 36.1%, di bawah rata-rata regional (45.2%). Indeks topografi basah (15.354 (indeks)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3873 mm/tahun) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.673 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pengelolaan daerah tangkapan air dan konservasi lahan basah hulu (Sendai Framework Priority 3: Investing in DRR)."
banjir,Mangkutana,0.0,low,"Wilayah Mangkutana diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.869 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Nuha,0.6371,medium,"Wilayah Nuha diprediksi memiliki risiko banjir sedang dengan probabilitas 63.7%, jauh di atas rata-rata regional (45.2%). Indeks topografi basah (15.823 (indeks)) menjadi faktor pendorong utama risiko; tutupan vegetasi (NDVI) (0.586 (indeks 0–1)) turut berkontribusi; sementara ketinggian wilayah (684.2 m dpl) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pengelolaan daerah tangkapan air dan konservasi lahan basah hulu (Sendai Framework Priority 3: Investing in DRR)."
banjir,Tomoni,0.0007,low,"Wilayah Tomoni diprediksi memiliki risiko banjir rendah dengan probabilitas 0.1%, jauh di bawah rata-rata regional (45.2%). Arah lereng (143.5 °) menjadi faktor pendorong utama risiko; sementara indeks topografi basah (14.955 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pemetaan jalur evakuasi berbasis arah lereng dan potensi aliran material (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Tomoni Timur,0.9229,high,"Wilayah Tomoni Timur diprediksi memiliki risiko banjir tinggi dengan probabilitas 92.3%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (25.7 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (16.770 (indeks)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Towuti,0.0,low,"Wilayah Towuti diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi ketinggian wilayah (554.2 m dpl) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Wasuponda,0.0,low,"Wilayah Wasuponda diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Jarak ke sungai terdekat (1.31 km) menjadi faktor pendorong utama risiko; sementara indeks topografi basah (14.928 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penetapan zona sempadan sungai dan penataan permukiman berbasis risiko banjir (Sendai Framework Priority 2: Strengthening DRR Governance)."
banjir,Wotu,0.95,high,"Wilayah Wotu diprediksi memiliki risiko banjir tinggi dengan probabilitas 95.0%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (13.1 m dpl) menjadi faktor pendorong utama risiko; tutupan vegetasi (NDVI) (0.542 (indeks 0–1)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Baebunta,0.8639,high,"Wilayah Baebunta diprediksi memiliki risiko banjir tinggi dengan probabilitas 86.4%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (131.5 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (16.416 (indeks)) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.654 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Bone-Bone,0.6985,medium,"Wilayah Bone-Bone diprediksi memiliki risiko banjir sedang dengan probabilitas 69.8%, di atas rata-rata regional (45.2%). Tutupan vegetasi (NDVI) (0.530 (indeks 0–1)) menjadi faktor pendorong utama risiko; indeks topografi basah (15.681 (indeks)) turut berkontribusi; sementara ketinggian wilayah (344.4 m dpl) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan restorasi tutupan lahan riparian untuk meningkatkan kapasitas infiltrasi dan mengurangi limpasan permukaan (Sendai Framework Priority 3: Investing in DRR)."
banjir,Limbong,0.0,low,"Wilayah Limbong diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.578 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Malangke,0.9344,high,"Wilayah Malangke diprediksi memiliki risiko banjir tinggi dengan probabilitas 93.4%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (10.0 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (17.034 (indeks)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Malangke Barat,0.9398,high,"Wilayah Malangke Barat diprediksi memiliki risiko banjir tinggi dengan probabilitas 94.0%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (11.5 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (16.906 (indeks)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Mappedeceng,0.1609,medium,"Wilayah Mappedeceng diprediksi memiliki risiko banjir sedang dengan probabilitas 16.1%, di bawah rata-rata regional (45.2%). Indeks topografi basah (15.623 (indeks)) menjadi faktor pendorong utama risiko; sementara ketinggian wilayah (397.7 m dpl) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pengelolaan daerah tangkapan air dan konservasi lahan basah hulu (Sendai Framework Priority 3: Investing in DRR)."
banjir,Masamba,0.0,low,"Wilayah Masamba diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.649 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Rampi,0.0,low,"Wilayah Rampi diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.907 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Sabbang,0.0,low,"Wilayah Sabbang diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.879 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Seko,0.0,low,"Wilayah Seko diprediksi memiliki risiko banjir rendah dengan probabilitas 0.0%, jauh di bawah rata-rata regional (45.2%). Kondisi indeks topografi basah (14.758 (indeks)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko banjir. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
banjir,Sukamaju,0.201,medium,"Wilayah Sukamaju diprediksi memiliki risiko banjir sedang dengan probabilitas 20.1%, di bawah rata-rata regional (45.2%). Indeks topografi basah (15.897 (indeks)) menjadi faktor pendorong utama risiko; sementara ketinggian wilayah (366.9 m dpl) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pengelolaan daerah tangkapan air dan konservasi lahan basah hulu (Sendai Framework Priority 3: Investing in DRR)."
